"episode","1000 hns with additional head stochastic - _step","1000 hns with additional head stochastic - reward"
"317","317","12.24"
"318","318","13.05"
"319","319","11.94"
"320","320","12.32"
"321","321","12.23"
"322","322","12.33"
"323","323","12.45"
"324","324","11.95"
"325","325","12.69"
"326","326","12.47"
"327","327","12.56"
"328","328","12.08"
"329","329","12.44"
"330","330","11.83"
"331","331","12.32"
"332","332","12.7"
"333","333","12.46"
"334","334","12.11"
"335","335","12.86"
"336","336","12.39"
"337","337","12.36"
"338","338","12.73"
"339","339","13.11"
"340","340","12.35"
"341","341","12.78"
"342","342","12.8"
"343","343","12.12"
"344","344","12.55"
"345","345","12.68"
"346","346","12.78"
"347","347","12.67"
"348","348","12.96"
"349","349","12.71"
"350","350","12.41"
"351","351","11.93"
"352","352","12.5"
"353","353","12.57"
"354","354","12.97"
"355","355","12.88"
"356","356","12.5"
"357","357","12.16"
"358","358","12.64"
"359","359","12.38"
"360","360","12.42"
"361","361","12.76"
"362","362","12.88"
"363","363","12.36"
"364","364","12.38"
"365","365","12.85"
"366","366","13.23"
"367","367","12.85"
"368","368","12.65"
"369","369","12.49"
"370","370","12.99"
"371","371","13.26"
"372","372","12.39"
"373","373","13.62"
"374","374","13.66"
"375","375","13.42"
"376","376","12.58"
"377","377","13.46"
"378","378","12.94"
"379","379","12.8"
"380","380","13.75"
"381","381","12.69"
"382","382","13.46"
"383","383","13.32"
"384","384","13.19"
"385","385","12.6"
"386","386","13.1"
"387","387","13.5"
"388","388","13.17"
"389","389","13.12"
"390","390","13.37"
"391","391","13.59"
"392","392","13.55"
"393","393","12.84"
"394","394","12.88"
"395","395","13.01"
"396","396","13.52"
"397","397","13.31"
"398","398","13.3"
"399","399","13.27"
"400","400","13.06"
"401","401","13.24"
"402","402","13.24"
"403","403","13.69"
"404","404","13.32"
"405","405","13.28"
"406","406","13.97"
"407","407","13.72"
"408","408","13.55"
"409","409","13.83"
"410","410","13.41"
"411","411","13.15"
"412","412","13.94"
"413","413","13.83"
"414","414","13.63"
"415","415","13.7"
"416","416","14.08"
"417","417","14.18"
"418","418","14.09"
"419","419","13.76"
"420","420","13.93"
"421","421","13.76"
"422","422","13.8"
"423","423","13.63"
"424","424","13.61"
"425","425","13.17"
"426","426","13.85"
"427","427","13.41"
"428","428","13.3"
"429","429","13.81"
"430","430","13.29"
"431","431","13.19"
"432","432","13.56"
"433","433","13.79"
"434","434","13.14"
"435","435","14.15"
"436","436","13.69"
"437","437","13.87"
"438","438","13.25"
"439","439","13.82"
"440","440","13.67"
"441","441","14.11"
"442","442","13.55"
"443","443","13.51"
"444","444","14.42"
"445","445","14.5"
"446","446","14.14"
"447","447","14.16"
"448","448","14.17"
"449","449","13.45"
"450","450","14.57"
"451","451","14.11"
"452","452","14.37"
"453","453","13.92"
"454","454","14.33"
"455","455","14.28"
"456","456","14.68"
"457","457","14.34"
"458","458","14.51"
"459","459","14.39"
"460","460","13.92"
"461","461","14.48"
"462","462","14.7"
"463","463","14.55"
"464","464","14.72"
"465","465","14.78"
"466","466","14.72"
"467","467","14.44"
"468","468","14.25"
"469","469","14.99"
"470","470","14.25"
"471","471","14.86"
"472","472","15.09"
"473","473","14.29"
"474","474","13.98"
"475","475","14.69"
"476","476","14.78"
"477","477","15.1"
"478","478","15.06"
"479","479","14.83"
"480","480","14.99"
"481","481","15.06"
"482","482","14.25"
"483","483","15.01"
"484","484","14.28"
"485","485","14.26"
"486","486","14.99"
"487","487","14.51"
"488","488","14.94"
"489","489","14.66"
"490","490","14.6"
"491","491","14.38"
"492","492","14.86"
"493","493","14.62"
"494","494","14.67"
"495","495","14.37"
"496","496","15.02"
"497","497","14.88"
"498","498","15.16"
"499","499","15.22"
"500","500","15.31"
"501","501","15.12"
"502","502","14.6"
"503","503","14.99"
"504","504","15.04"
"505","505","15.28"
"506","506","15.11"
"507","507","15.08"
"508","508","15.22"
"509","509","15.34"
"510","510","14.8"
"511","511","14.85"
"512","512","15.13"
"513","513","15.03"
"514","514","15.7"
"515","515","14.59"
"516","516","15.57"
"517","517","15.19"
"518","518","15.19"
"519","519","15.58"
"520","520","15.34"
"521","521","15.28"
"522","522","15.22"
"523","523","15.45"
"524","524","15.74"
"525","525","15.28"
"526","526","16.18"
"527","527","15.6"
"528","528","15.98"
"529","529","15.72"
"530","530","15.9"
"531","531","15.91"
"532","532","15.77"
"533","533","15.81"
"534","534","16.17"
"535","535","15.56"
"536","536","16.63"
"537","537","15.09"
"538","538","16.01"
"539","539","15.96"
"540","540","16.2"
"541","541","16.38"
"542","542","15.92"
"543","543","15.83"
"544","544","16.22"
"545","545","15.61"
"546","546","16.27"
"547","547","16.43"
"548","548","15.88"
"549","549","15.87"
"550","550","15.53"
"551","551","16.5"
"552","552","16.54"
"553","553","15.16"
"554","554","16.62"
"555","555","15.89"
"556","556","16.36"
"557","557","16.27"
"558","558","15.74"
"559","559","15.93"
"560","560","16.28"
"561","561","16.44"
"562","562","16.19"
"563","563","16.35"
"564","564","15.12"
"565","565","15.83"
"566","566","15.33"
"567","567","15.67"
"568","568","16.43"
"569","569","16.56"
"570","570","16.19"
"571","571","15.43"
"572","572","15.73"
"573","573","15.92"
"574","574","15.95"
"575","575","16.53"
"576","576","16.19"
"577","577","15.79"
"578","578","16.29"
"579","579","16.7"
"580","580","16.51"
"581","581","15.99"
"582","582","16.69"
"583","583","16.7"
"584","584","16.21"
"585","585","15.81"
"586","586","16.25"
"587","587","16.2"
"588","588","16.43"
"589","589","16.31"
"590","590","15.72"
"591","591","16.83"
"592","592","15.78"
"593","593","16.46"
"594","594","15.94"
"595","595","16.37"
"596","596","16.34"
"597","597","16.88"
"598","598","16.16"
"599","599","16.2"
"600","600","16.53"
"601","601","16.23"
"602","602","16.49"
"603","603","16.71"
"604","604","16.61"
"605","605","17.03"
"606","606","16.62"
"607","607","17.25"
"608","608","16.97"
"609","609","17.17"
"610","610","16.64"
"611","611","16.85"
"612","612","16.33"
"613","613","16.4"
"614","614","15.53"
"615","615","16.51"
"616","616","16.52"
"617","617","15.63"
"618","618","16.23"
"619","619","16.64"
"620","620","16.73"
"621","621","16.48"
"622","622","16.9"
"623","623","16.69"
"624","624","15.93"
"625","625","16.17"
"626","626","16.61"
"627","627","15.79"
"628","628","16.19"
"629","629","16.36"
"630","630","15.69"
"631","631","16.08"
"632","632","15.91"
"633","633","16.84"
"634","634","16.17"
"635","635","16.8"
"636","636","16.99"
"637","637","17.1"
"638","638","16.92"
"639","639","16.7"
"640","640","17.05"
"641","641","16.34"
"642","642","17.48"
"643","643","16.83"
"644","644","16.72"
"645","645","16.89"
"646","646","17.1"
"647","647","17"
"648","648","17"
"649","649","16.91"
"650","650","17.23"
"651","651","17.07"
"652","652","17.35"
"653","653","16.56"
"654","654","16.17"
"655","655","16.32"
"656","656","16.47"
"657","657","16.68"
"658","658","16.38"
"659","659","16.34"
"660","660","16.62"
"661","661","16.16"
"662","662","15.69"
"663","663","16.8"
"664","664","15.89"
"665","665","16.3"
"666","666","15.83"
"667","667","16.67"
"668","668","15.98"
"669","669","15.76"
"670","670","15.99"
"671","671","16.22"
"672","672","15.87"
"673","673","15.78"
"674","674","16.19"
"675","675","16.31"
"676","676","16.09"
"677","677","15.87"
"678","678","16.12"
"679","679","15.93"
"680","680","16.67"
"681","681","16.73"
"682","682","16.82"
"683","683","17.05"
"684","684","17.28"
"685","685","17.02"
"686","686","17.1"
"687","687","17.21"
"688","688","17.1"
"689","689","17.02"
"690","690","17.07"
"691","691","16.3"
"692","692","17.19"
"693","693","17.21"
"694","694","17.22"
"695","695","16.98"
"696","696","16.7"
"697","697","17.3"
"698","698","16.87"
"699","699","16.95"
"700","700","17.3"
"701","701","17.57"
"702","702","17.13"
"703","703","17.41"
"704","704","17.74"
"705","705","17.03"
"706","706","17.43"
"707","707","17.31"
"708","708","17.67"
"709","709","17.18"
"710","710","17.48"
"711","711","17.13"
"712","712","17.11"
"713","713","17"
"714","714","17.21"
"715","715","16.94"
"716","716","16.34"
"717","717","16.04"
"718","718","16.78"
"719","719","17.06"
"720","720","16.77"
"721","721","16.84"
"722","722","16.69"
"723","723","17.24"
"724","724","17.28"
"725","725","17.14"
"726","726","17.76"
"727","727","17.75"
"728","728","17.89"
"729","729","17.6"
"730","730","17.34"
"731","731","17.8"
"732","732","17.12"
"733","733","17.82"
"734","734","17.57"
"735","735","17.13"
"736","736","17.34"
"737","737","17.46"
"738","738","17.56"
"739","739","17.56"
"740","740","17.97"
"741","741","17.29"
"742","742","17.69"
"743","743","17.4"
"744","744","17.92"
"745","745","17.56"
"746","746","17.35"
"747","747","17.14"
"748","748","17.38"
"749","749","17.77"
"750","750","17.72"
"751","751","17.43"
"752","752","17.84"
"753","753","17.55"
"754","754","17.82"
"755","755","17.9"
"756","756","17.8"
"757","757","17.94"
"758","758","17.71"
"759","759","17.72"
"760","760","17.11"
"761","761","17.81"
"762","762","17.61"
"763","763","17.66"
"764","764","17.59"
"765","765","17.6"
"766","766","17.87"
"767","767","18.22"
"768","768","17.96"
"769","769","17.99"
"770","770","17.83"
"771","771","18.15"
"772","772","17.69"
"773","773","18"
"774","774","18.05"
"775","775","17.61"
"776","776","18.23"
"777","777","17.53"
"778","778","18.08"
"779","779","17.64"
"780","780","17.25"
"781","781","18.22"
"782","782","18.03"
"783","783","17.76"
"784","784","18.45"
"785","785","17.46"
"786","786","18.5"
"787","787","18.29"
"788","788","18.35"
"789","789","18.02"
"790","790","17.98"
"791","791","18.1"
"792","792","18.28"
"793","793","18.28"
"794","794","18.52"
"795","795","18.53"
"796","796","18.33"
"797","797","18.15"
"798","798","17.71"
"799","799","18.42"
"800","800","18.33"
"801","801","18.45"
"802","802","18.56"
"803","803","18.14"
"804","804","18.2"
"805","805","18.36"
"806","806","18.31"
"807","807","17.8"
"808","808","17.81"
"809","809","18.46"
"810","810","18.32"
"811","811","18.03"
"812","812","18.62"
"813","813","17.96"
"814","814","18.42"
"815","815","18.78"
"816","816","18.63"
"817","817","18.23"
"818","818","18.05"
"819","819","19.03"
"820","820","18.42"
"821","821","18.42"
"822","822","18.43"
"823","823","18.75"
"824","824","19"
"825","825","18.56"
"826","826","18.59"
"827","827","17.84"
"828","828","18.34"
"829","829","18.64"
"830","830","18.32"
"831","831","18.2"
"832","832","18.69"
"833","833","19.07"
"834","834","18.18"
"835","835","18.73"
"836","836","19.23"
"837","837","18.91"
"838","838","18.55"
"839","839","19.07"
"840","840","18.32"
"841","841","18.82"
"842","842","18.16"
"843","843","18.78"
"844","844","19"
"845","845","18.38"
"846","846","19.07"
"847","847","18.79"
"848","848","19"
"849","849","18.8"
"850","850","19.01"
"851","851","18.53"
"852","852","18.75"
"853","853","19.11"
"854","854","18.99"
"855","855","18.67"
"856","856","18.9"
"857","857","18.58"
"858","858","18.65"
"859","859","19.24"
"860","860","18.85"
"861","861","18.85"
"862","862","18.69"
"863","863","18.83"
"864","864","18.69"
"865","865","18.9"
"866","866","19.07"
"867","867","18.91"
"868","868","18.55"
"869","869","18.99"
"870","870","18.89"
"871","871","18.71"
"872","872","18.81"
"873","873","18.93"
"874","874","18.9"
"875","875","18.93"
"876","876","18.77"
"877","877","18.44"
"878","878","18.89"
"879","879","18.93"
"880","880","18.65"
"881","881","18.65"
"882","882","18.75"
"883","883","18.53"
"884","884","18.9"
"885","885","18.88"
"886","886","18.87"
"887","887","18.78"
"888","888","18.74"
"889","889","18.75"
"890","890","18.71"
"891","891","18.69"
"892","892","18.91"
"893","893","18.77"
"894","894","18.5"
"895","895","18.28"
"896","896","19.03"
"897","897","18.52"
"898","898","18.98"
"899","899","19.16"
"900","900","19.23"
"901","901","18.9"
"902","902","18.99"
"903","903","19.07"
"904","904","18.95"
"905","905","18.84"
"906","906","18.8"
"907","907","19"
"908","908","18.78"
"909","909","19.24"
"910","910","19.09"
"911","911","18.59"
"912","912","18.98"
"913","913","19.09"
"914","914","18.58"
"915","915","18.89"
"916","916","19.04"
"917","917","18.56"
"918","918","18.7"
"919","919","19.23"
"920","920","18.53"
"921","921","18.59"
"922","922","19.05"
"923","923","19.02"
"924","924","19.05"
"925","925","18.88"
"926","926","19.18"
"927","927","19.05"
"928","928","18.99"
"929","929","18.92"
"930","930","18.85"
"931","931","18.95"
"932","932","18.69"
"933","933","18.73"
"934","934","18.74"
"935","935","18.91"
"936","936","18.96"
"937","937","18.36"
"938","938","19.01"
"939","939","18.91"
"940","940","19.03"
"941","941","19.15"
"942","942","18.97"
"943","943","19.21"
"944","944","18.69"
"945","945","18.88"
"946","946","18.72"
"947","947","18.39"
"948","948","18.67"
"949","949","18.93"
"950","950","18.38"
"951","951","19.1"
"952","952","18.67"
"953","953","18.7"
"954","954","19.24"
"955","955","19.17"
"956","956","18.71"
"957","957","18.79"
"958","958","18.67"
"959","959","18.86"
"960","960","19.13"
"961","961","18.88"
"962","962","18.53"
"963","963","18.78"
"964","964","18.81"
"965","965","18.57"
"966","966","18.83"
"967","967","18.75"
"968","968","18.79"
"969","969","19.33"
"970","970","19.05"
"971","971","18.41"
"972","972","18.81"
"973","973","18.68"
"974","974","18.67"
"975","975","19.14"
"976","976","18.67"
"977","977","18.91"
"978","978","18.26"
"979","979","19.28"
"980","980","19.13"
"981","981","19.02"
"982","982","19.05"
"983","983","19.12"
"984","984","19.34"
"985","985","18.47"
"986","986","19.04"
"987","987","18.95"
"988","988","18.76"
"989","989","18.98"
"990","990","18.75"
"991","991","19.25"
"992","992","18.93"
"993","993","18.76"
"994","994","18.26"
"995","995","18.74"
"996","996","18.95"
"997","997","19.4"
"998","998","19.22"
"999","999","18.92"
"1000","1000","19.09"
"1001","1001","18.74"
"1002","1002","19.21"
"1003","1003","19.12"
"1004","1004","18.85"
"1005","1005","19.28"
"1006","1006","18.83"
"1007","1007","18.8"
"1008","1008","18.94"
"1009","1009","18.78"
"1010","1010","19.17"
"1011","1011","18.98"
"1012","1012","18.85"
"1013","1013","19.04"
"1014","1014","19.22"
"1015","1015","19.1"
"1016","1016","19.25"
"1017","1017","18.63"
