"episode","1000 wo map - _step","1000 wo map - self_coins1"
"319","318","1.31"
"320","319","1.2"
"321","320","1.04"
"322","321","1.29"
"323","322","1.09"
"324","323","1.04"
"325","324","1.14"
"326","325","0.99"
"327","326","1.01"
"328","327","1.15"
"329","328","1.25"
"330","329","1.23"
"331","330","1.22"
"332","331","1.11"
"333","332","1.11"
"334","333","1.33"
"335","334","1.25"
"336","335","1.09"
"337","336","1.12"
"338","337","1.37"
"339","338","1.23"
"340","339","1.25"
"341","340","1.13"
"342","341","1.14"
"343","342","1.2"
"344","343","1.16"
"345","344","1.07"
"346","345","0.91"
"347","346","1.21"
"348","347","1.2"
"349","348","1.22"
"350","349","1.17"
"351","350","1.13"
"352","351","1.19"
"353","352","1.08"
"354","353","1.12"
"355","354","1.17"
"356","355","1.22"
"357","356","1.16"
"358","357","1.16"
"359","358","1.13"
"360","359","1.3"
"361","360","1.12"
"362","361","1.25"
"363","362","1.05"
"364","363","1.38"
"365","364","1.26"
"366","365","1.18"
"367","366","1.09"
"368","367","1.21"
"369","368","1.31"
"370","369","1.27"
"371","370","1.15"
"372","371","1.17"
"373","372","1.13"
"374","373","1.28"
"375","374","1.11"
"376","375","1.25"
"377","376","1.15"
"378","377","1.24"
"379","378","1.11"
"380","379","1.08"
"381","380","1.11"
"382","381","1.21"
"383","382","1.34"
"384","383","1.14"
"385","384","1.3"
"386","385","1.18"
"387","386","1.04"
"388","387","1.29"
"389","388","1.36"
"390","389","1.19"
"391","390","1.09"
"392","391","1.15"
"393","392","1.1"
"394","393","1.15"
"395","394","1"
"396","395","1.12"
"397","396","1.16"
"398","397","1.21"
"399","398","0.92"
"400","399","1.18"
"401","400","1.21"
"402","401","0.94"
"403","402","1.06"
"404","403","1.22"
"405","404","1.08"
"406","405","1.23"
"407","406","1.1"
"408","407","1.22"
"409","408","1.24"
"410","409","1.02"
"411","410","1.32"
"412","411","1.28"
"413","412","1.05"
"414","413","1.04"
"415","414","1.17"
"416","415","1.22"
"417","416","1.17"
"418","417","1.24"
"419","418","1.19"
"420","419","1.19"
"421","420","1.02"
"422","421","1.37"
"423","422","1.25"
"424","423","1.11"
"425","424","1.2"
"426","425","1.28"
"427","426","1.05"
"428","427","1.04"
"429","428","1.25"
"430","429","1.23"
"431","430","1.33"
"432","431","1.24"
"433","432","1.2"
"434","433","1.38"
"435","434","1.21"
"436","435","1.09"
"437","436","1.27"
"438","437","1.3"
"439","438","1.21"
"440","439","1.24"
"441","440","1.12"
"442","441","1.04"
"443","442","1.06"
"444","443","1.26"
"445","444","1.16"
"446","445","1.08"
"447","446","1.02"
"448","447","1"
"449","448","1.09"
"450","449","1.25"
"451","450","1.2"
"452","451","1.18"
"453","452","1.25"
"454","453","1.28"
"455","454","1.12"
"456","455","1.23"
"457","456","1.02"
"458","457","1.09"
"459","458","1.02"
"460","459","1.17"
"461","460","0.96"
"462","461","1.16"
"463","462","1.18"
"464","463","1.38"
"465","464","1.04"
"466","465","1.21"
"467","466","1.27"
"468","467","1.22"
"469","468","1.2"
"470","469","1.27"
"471","470","1.22"
"472","471","1.33"
"473","472","1.37"
"474","473","1.23"
"475","474","1.06"
"476","475","1.17"
"477","476","1.08"
"478","477","1.21"
"479","478","1.13"
"480","479","1.08"
"481","480","1"
"482","481","1.14"
"483","482","1.31"
"484","483","1.25"
"485","484","1.21"
"486","485","1.26"
"487","486","1.25"
"488","487","1.19"
"489","488","1.22"
"490","489","1.33"
"491","490","1.26"
"492","491","1.01"
"493","492","1.11"
"494","493","1.2"
"495","494","1.13"
"496","495","1.01"
"497","496","1.33"
"498","497","1.3"
"499","498","1.43"
"500","499","1.29"
"501","500","1.28"
"502","501","1.24"
"503","502","1.25"
"504","503","1.38"
"505","504","1.34"
"506","505","1.18"
"507","506","1.21"
"508","507","1.14"
"509","508","1.14"
"510","509","1.33"
"511","510","1.16"
"512","511","1.22"
"513","512","1.38"
"514","513","1.25"
"515","514","1.28"
"516","515","1.23"
"517","516","1.19"
"518","517","1.04"
"519","518","1.22"
"520","519","1.11"
"521","520","1.16"
"522","521","1.08"
"523","522","1.15"
"524","523","1"
"525","524","1.25"
"526","525","1.21"
"527","526","1.14"
"528","527","1.26"
"529","528","1.2"
"530","529","1.37"
"531","530","1.05"
"532","531","1.45"
"533","532","1.27"
"534","533","1.15"
"535","534","1.27"
"536","535","1.18"
"537","536","1.24"
"538","537","1.1"
"539","538","1.46"
"540","539","1.08"
"541","540","1.31"
"542","541","1.18"
"543","542","1.22"
"544","543","1.23"
"545","544","1.2"
"546","545","1.2"
"547","546","1.17"
"548","547","1.25"
"549","548","1.27"
"550","549","1.24"
"551","550","1.19"
"552","551","1.17"
"553","552","1.2"
"554","553","1.17"
"555","554","1.16"
"556","555","1.23"
"557","556","1"
"558","557","1.17"
"559","558","1.05"
"560","559","1.15"
"561","560","1.33"
"562","561","1.29"
"563","562","1.22"
"564","563","1.03"
"565","564","1.4"
"566","565","1.17"
"567","566","1.1"
"568","567","1.19"
"569","568","1.26"
"570","569","1.16"
"571","570","1.19"
"572","571","1.15"
"573","572","1.1"
"574","573","1.33"
"575","574","1.24"
"576","575","1.33"
"577","576","1.01"
"578","577","1.35"
"579","578","1.17"
"580","579","1.22"
"581","580","1.32"
"582","581","1.28"
"583","582","1.29"
"584","583","1.23"
"585","584","1.2"
"586","585","1.36"
"587","586","1.06"
"588","587","1.3"
"589","588","1.29"
"590","589","1.35"
"591","590","1.25"
"592","591","1.1"
"593","592","1.13"
"594","593","1.21"
"595","594","1.26"
"596","595","1.08"
"597","596","0.97"
"598","597","1.34"
"599","598","1.2"
"600","599","1.15"
"601","600","1.18"
"602","601","1.21"
"603","602","1.29"
"604","603","1.16"
"605","604","1.19"
"606","605","1.28"
"607","606","1.25"
"608","607","1.2"
"609","608","1.25"
"610","609","1.32"
"611","610","1.15"
"612","611","1.24"
"613","612","1.22"
"614","613","1.32"
"615","614","1.24"
"616","615","1.34"
"617","616","1.17"
"618","617","1.2"
"619","618","1.3"
"620","619","1.25"
"621","620","1.23"
"622","621","1.28"
"623","622","1.28"
"624","623","1.15"
"625","624","1.15"
"626","625","1.3"
"627","626","1.07"
"628","627","1.09"
"629","628","1.15"
"630","629","1.25"
"631","630","1.18"
"632","631","1.06"
"633","632","1.3"
"634","633","1.18"
"635","634","1.23"
"636","635","1.2"
"637","636","1.38"
"638","637","1.22"
"639","638","1.13"
"640","639","1.38"
"641","640","1.26"
"642","641","1.19"
"643","642","1.11"
"644","643","1.2"
"645","644","1.39"
"646","645","1.27"
"647","646","1.04"
"648","647","1.17"
"649","648","1.23"
"650","649","1.22"
"651","650","1.33"
"652","651","1.34"
"653","652","1.24"
"654","653","1.23"
"655","654","1.15"
"656","655","1.28"
"657","656","1.22"
"658","657","1.23"
"659","658","1.25"
"660","659","1.27"
"661","660","1.15"
"662","661","1.2"
"663","662","1.23"
"664","663","1.46"
"665","664","1.22"
