"episode","1000 wo map - _step","1000 wo map - other_coins1"
"319","318","1.06"
"320","319","1.12"
"321","320","1.13"
"322","321","1.11"
"323","322","1.16"
"324","323","1.17"
"325","324","1.36"
"326","325","1.07"
"327","326","1.13"
"328","327","1.13"
"329","328","1.33"
"330","329","1.18"
"331","330","1.25"
"332","331","1.1"
"333","332","1.13"
"334","333","1.14"
"335","334","1.33"
"336","335","1.23"
"337","336","1.01"
"338","337","1.35"
"339","338","1.12"
"340","339","1.22"
"341","340","1.16"
"342","341","1.01"
"343","342","1.21"
"344","343","0.95"
"345","344","1.13"
"346","345","1.24"
"347","346","1.09"
"348","347","1.09"
"349","348","1.3"
"350","349","1.35"
"351","350","1.15"
"352","351","1.12"
"353","352","1.32"
"354","353","1.05"
"355","354","1.25"
"356","355","1.16"
"357","356","1.16"
"358","357","1.22"
"359","358","1.05"
"360","359","1.16"
"361","360","1.1"
"362","361","1.08"
"363","362","1"
"364","363","1.32"
"365","364","1.17"
"366","365","1.29"
"367","366","1.36"
"368","367","1.43"
"369","368","1.13"
"370","369","1.19"
"371","370","1.25"
"372","371","1.3"
"373","372","1.17"
"374","373","1.19"
"375","374","1.01"
"376","375","1.13"
"377","376","1.27"
"378","377","1.19"
"379","378","1.13"
"380","379","1.21"
"381","380","1.17"
"382","381","1.31"
"383","382","1.1"
"384","383","1.22"
"385","384","1.03"
"386","385","1.25"
"387","386","1.18"
"388","387","1.11"
"389","388","1.35"
"390","389","1.15"
"391","390","1.18"
"392","391","1.23"
"393","392","1.2"
"394","393","1.13"
"395","394","1.07"
"396","395","1.14"
"397","396","1.15"
"398","397","1.16"
"399","398","0.87"
"400","399","1.17"
"401","400","1.32"
"402","401","1.12"
"403","402","1.2"
"404","403","1.13"
"405","404","1.1"
"406","405","1.18"
"407","406","1.3"
"408","407","1.1"
"409","408","1.1"
"410","409","1.2"
"411","410","1.08"
"412","411","1.24"
"413","412","1.19"
"414","413","1.13"
"415","414","1.19"
"416","415","1.25"
"417","416","1.16"
"418","417","1.13"
"419","418","1.24"
"420","419","1.32"
"421","420","1.25"
"422","421","1.33"
"423","422","1.19"
"424","423","1.13"
"425","424","1.22"
"426","425","1.25"
"427","426","1.17"
"428","427","1.18"
"429","428","1.26"
"430","429","1.11"
"431","430","1.08"
"432","431","1.15"
"433","432","1.18"
"434","433","1.2"
"435","434","1.11"
"436","435","1.31"
"437","436","1.37"
"438","437","1.2"
"439","438","1.24"
"440","439","1.22"
"441","440","1.2"
"442","441","1.03"
"443","442","1.22"
"444","443","1.05"
"445","444","1.07"
"446","445","1.09"
"447","446","1.04"
"448","447","1.23"
"449","448","1.27"
"450","449","1.04"
"451","450","1.17"
"452","451","1.15"
"453","452","1.26"
"454","453","1.15"
"455","454","1.08"
"456","455","1.2"
"457","456","1.1"
"458","457","1.25"
"459","458","1.21"
"460","459","1.3"
"461","460","1.14"
"462","461","1.23"
"463","462","1.28"
"464","463","1.15"
"465","464","1.2"
"466","465","1.09"
"467","466","1.13"
"468","467","1.18"
"469","468","0.99"
"470","469","1.05"
"471","470","1.11"
"472","471","1.21"
"473","472","1.12"
"474","473","1.2"
"475","474","1.18"
"476","475","1.11"
"477","476","1.13"
"478","477","1.13"
"479","478","1.18"
"480","479","1.04"
"481","480","1.28"
"482","481","1.3"
"483","482","1.18"
"484","483","1.32"
"485","484","1.26"
"486","485","1.17"
"487","486","1.35"
"488","487","1.2"
"489","488","1.33"
"490","489","1.28"
"491","490","1.23"
"492","491","1.21"
"493","492","1.35"
"494","493","1.35"
"495","494","1.18"
"496","495","1.19"
"497","496","1.12"
"498","497","1.36"
"499","498","1.2"
"500","499","1.37"
"501","500","1.19"
"502","501","1.12"
"503","502","1.04"
"504","503","1.08"
"505","504","1.33"
"506","505","1.16"
"507","506","1.15"
"508","507","1.06"
"509","508","1.25"
"510","509","1.15"
"511","510","1.21"
"512","511","1.2"
"513","512","1.32"
"514","513","1.24"
"515","514","1.07"
"516","515","1.06"
"517","516","1.16"
"518","517","1.16"
"519","518","1.08"
"520","519","1.12"
"521","520","1.21"
"522","521","1.18"
"523","522","1.15"
"524","523","1.06"
"525","524","1.32"
"526","525","1.23"
"527","526","1.15"
"528","527","1.25"
"529","528","1.26"
"530","529","1.18"
"531","530","1.11"
"532","531","1.27"
"533","532","1.12"
"534","533","1.15"
"535","534","1.22"
"536","535","1.11"
"537","536","1.14"
"538","537","1.16"
"539","538","1.22"
"540","539","1.26"
"541","540","1.14"
"542","541","1.23"
"543","542","1.11"
"544","543","1.04"
"545","544","1.12"
"546","545","1.26"
"547","546","1.07"
"548","547","1.14"
"549","548","1.13"
"550","549","1.14"
"551","550","1.24"
"552","551","1.23"
"553","552","1.28"
"554","553","1.23"
"555","554","1.26"
"556","555","1.25"
