"episode","1000 wo map - _step","1000 wo map - neither_coins1"
"319","318","1.03"
"320","319","1.15"
"321","320","1.3"
"322","321","1.13"
"323","322","1.29"
"324","323","1.23"
"325","324","1.19"
"326","325","1.24"
"327","326","1.06"
"328","327","1.19"
"329","328","1.14"
"330","329","1.25"
"331","330","1.17"
"332","331","1.15"
"333","332","1.41"
"334","333","1.15"
"335","334","1.21"
"336","335","1.16"
"337","336","1.25"
"338","337","1.23"
"339","338","1.05"
"340","339","1.18"
"341","340","1.21"
"342","341","1.1"
"343","342","1.07"
"344","343","1.09"
"345","344","1.24"
"346","345","0.97"
"347","346","1.11"
"348","347","1.17"
"349","348","1.24"
"350","349","1.08"
"351","350","1.15"
"352","351","1.03"
"353","352","1.21"
"354","353","1.05"
"355","354","1.27"
"356","355","1.32"
"357","356","1.09"
"358","357","1.34"
"359","358","1.07"
"360","359","1.24"
"361","360","1.17"
"362","361","1.12"
"363","362","1.17"
"364","363","1.09"
"365","364","1.19"
"366","365","1.3"
"367","366","1.1"
"368","367","1.2"
"369","368","1.05"
"370","369","1.02"
"371","370","0.85"
"372","371","1.24"
"373","372","1.15"
"374","373","1.19"
"375","374","1.06"
"376","375","1.32"
"377","376","1.13"
"378","377","1.07"
"379","378","1.28"
"380","379","1.28"
"381","380","1.18"
"382","381","1.15"
"383","382","1.14"
"384","383","1.13"
"385","384","1.19"
"386","385","1.01"
"387","386","1.22"
"388","387","1.15"
"389","388","1.23"
"390","389","1.36"
"391","390","1.26"
"392","391","0.96"
"393","392","1.18"
"394","393","1.13"
"395","394","1.12"
"396","395","1.21"
"397","396","1.38"
"398","397","1.02"
"399","398","1.06"
"400","399","1.16"
"401","400","1.08"
"402","401","1.28"
"403","402","1.03"
"404","403","1.3"
"405","404","1.16"
"406","405","1.22"
"407","406","1.17"
"408","407","1.25"
"409","408","1.15"
"410","409","1.22"
"411","410","1.31"
"412","411","1.13"
"413","412","1.17"
"414","413","1.06"
"415","414","1.16"
"416","415","1.18"
"417","416","0.94"
"418","417","1.1"
"419","418","1.26"
"420","419","1.14"
"421","420","1.04"
"422","421","1.27"
"423","422","1.16"
"424","423","1.23"
"425","424","1.24"
"426","425","1.23"
"427","426","1.09"
"428","427","1.17"
"429","428","1.2"
"430","429","1.1"
"431","430","1.21"
"432","431","1.4"
"433","432","1.05"
"434","433","1.11"
"435","434","1.34"
"436","435","1.29"
"437","436","1.2"
"438","437","1.08"
"439","438","1.4"
"440","439","1.18"
"441","440","1.55"
"442","441","1.07"
"443","442","1.2"
"444","443","1.3"
"445","444","1.14"
"446","445","1.07"
"447","446","1.03"
"448","447","1.24"
"449","448","1.24"
"450","449","1.07"
"451","450","1.07"
"452","451","1.34"
"453","452","1.2"
"454","453","1.18"
"455","454","1.26"
"456","455","1.28"
"457","456","1.25"
"458","457","1.16"
"459","458","1.18"
"460","459","1.28"
"461","460","1.19"
"462","461","1.17"
"463","462","1.11"
"464","463","1.21"
"465","464","1.23"
"466","465","1.26"
"467","466","1.31"
"468","467","0.96"
"469","468","1.02"
"470","469","1.46"
"471","470","1.28"
"472","471","1.18"
"473","472","1"
"474","473","1.2"
"475","474","1.32"
"476","475","1.23"
"477","476","1.15"
"478","477","1.12"
"479","478","1.1"
"480","479","1.22"
"481","480","1.19"
"482","481","1.09"
"483","482","1.2"
"484","483","1.25"
"485","484","1.13"
"486","485","1.2"
"487","486","1.33"
"488","487","1.3"
"489","488","1.3"
"490","489","1.28"
"491","490","1.08"
"492","491","1.09"
"493","492","1.09"
"494","493","1.21"
"495","494","1.37"
"496","495","1.36"
"497","496","1.06"
"498","497","1.23"
"499","498","1.04"
"500","499","1.01"
"501","500","1.24"
"502","501","1.28"
"503","502","1.06"
"504","503","1.11"
"505","504","1.04"
"506","505","1.28"
"507","506","1.28"
"508","507","1.14"
"509","508","1.09"
"510","509","1.25"
"511","510","1.09"
"512","511","1.21"
"513","512","1.21"
"514","513","1.25"
"515","514","1.34"
"516","515","1.12"
"517","516","1.28"
"518","517","1.33"
"519","518","1.33"
"520","519","1.3"
"521","520","1.14"
"522","521","1.29"
"523","522","1.23"
"524","523","1.31"
"525","524","1.22"
"526","525","1.34"
"527","526","1.28"
"528","527","1.1"
"529","528","1.16"
"530","529","1.11"
"531","530","1.32"
"532","531","1.24"
"533","532","1.3"
"534","533","1.24"
"535","534","1.2"
"536","535","1.22"
"537","536","1.23"
"538","537","1.01"
"539","538","1.37"
"540","539","1.34"
"541","540","1.14"
"542","541","1.19"
"543","542","1.21"
"544","543","1.16"
"545","544","1.14"
"546","545","1.2"
"547","546","1.34"
"548","547","1.21"
"549","548","1.18"
"550","549","1.23"
"551","550","1.16"
"552","551","1.14"
"553","552","1.2"
"554","553","1.05"
"555","554","1.27"
"556","555","1.31"
"557","556","1.18"
"558","557","1.19"
